Date_reported,iso_code,Country,WHO_region,Covid_new_hospitalizations_last_7days,Covid_new_icu_admissions_last_7days,Covid_new_hospitalizations_last_28days,Covid_new_icu_admissions_last_28days,YearQuarter
2026-05-03,PAN,PANAMA,AMR,10.0,0.0,54.0,6.0,2026Q2
2026-05-03,PER,PERU,AMR,1.0,0.0,13.0,2.0,2026Q2
2026-05-03,POL,POLAND,EUR,3.0,,37.0,,2026Q2
2026-05-03,PRT,PORTUGAL,EUR,0.0,0.0,7.0,0.0,2026Q2
2026-05-03,LCA,SAINT LUCIA,AMR,0.0,0.0,0.0,0.0,2026Q2
2026-05-03,SVK,SLOVAKIA,EUR,6.0,1.0,11.0,1.0,2026Q2
2026-05-03,ESP,SPAIN,EUR,1.0,,1.0,,2026Q2
2026-05-03,SUR,SURINAME,AMR,0.0,0.0,0.0,0.0,2026Q2
2026-05-03,GBR,THE UNITED KINGDOM,EUR,119.0,5.0,600.0,22.0,2026Q2
2026-05-03,TCA,TURKS AND CAICOS ISLANDS,AMR,0.0,0.0,0.0,0.0,2026Q2
2026-05-03,UKR,UKRAINE,EUR,2.0,0.0,6.0,0.0,2026Q2
2026-05-03,URY,URUGUAY,AMR,1.0,0.0,5.0,1.0,2026Q2
2026-04-26,ARG,ARGENTINA,AMR,18.0,,71.0,,2026Q2
2026-04-26,BOL,BOLIVIA (PLURINATIONAL STATE OF),AMR,0.0,0.0,2.0,0.0,2026Q2
2026-04-26,BRA,BRAZIL,AMR,64.0,23.0,284.0,84.0,2026Q2
2026-04-26,CHL,CHILE,AMR,1.0,0.0,10.0,2.0,2026Q2
2026-04-26,COL,COLOMBIA,AMR,31.0,0.0,100.0,0.0,2026Q2
